COMMUNE_NOM,COLL_SIRET,ANIMATIONS,DATE DEBUT,DATE FIN,ORGANISATEUR,LIEU 1,LIEU 2,LIEU 3
Antibes,21060004500012,Prix Inter Parking ,2020-02-08,2020-02-08,Les Amis de la Pinède,Petite pinède,,
Antibes,21060004500012,Nuit du Hand,2020-02-08,2020-02-08,OAJLP Handball,Salle Saint Claude,,
Antibes,21060004500012,Rencontre Inter-clubs N3 + Régional 1,2020-02-08,2020-02-09,Badminton Club d'Antibes,Salle Collège Fontonne,,
Antibes,21060004500012,Marcassinade Olympique,2020-02-09,2020-02-09,ASSA Escalade,Salle Paul Charpin ,,
Antibes,21060004500012,Rassemblement Cycliste ,2020-02-09,2020-02-09,Vélo Club Antibois,Parvis de la Chapelle de la Garoupe,,
Antibes,21060004500012,Stage du Club ,2020-02-17,2020-02-21,AS Fontonne Football,Stade Docteur Léger,,
Antibes,21060004500012,Prix des Commerçants,2020-02-29,2020-02-29,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,1/2 finale du TOP 12 de Gym,2020-02-29,2020-02-29,OAJLP Gymnastique ,Salle Brochard,,
Antibes,21060004500012,Régate de Ligue ,2020-03-01,2020-03-01,Société des Régates d'Antibes,Base Nautique ,,
Antibes,21060004500012,Animation Fermeture du bord de mer,2020-03-01,2020-03-01,Olympique Cyclo Club d'Antibes,Bord de mer côté fort carré,,
Antibes,21060004500012,Hand Ensemble,2020-03-05,2020-03-05,OAJLP Handball,Salle Saint Claude,,
Antibes,21060004500012,Tournoi Amical Master +40 dames,2020-03-07,2020-03-08,AS Fontonne Hockey,Stade Docteur Léger T3,,
Antibes,21060004500012,Concours de boules ,2020-03-12,2020-03-12,Les Amis de la Pinède,Petite et grande pinède,,
Antibes,21060004500012,Ski Nautique ,2020-06-27,2020-06-27,Belles Rives Ski Nautique Club,Ponton du Belles Rives,,
Antibes,21060004500012,Aquagym,2020-07-01,2020-07-01,Cercle des Nageurs d'Antibes,Plage du Ponteil,,
Antibes,21060004500012,Méditation,2020-07-01,2020-07-01,Meditbliss,Parc Exflora,,
Antibes,21060004500012,Biodonza,2020-07-02,2020-07-02,Association Bel Hêtre,Base Nautique,,
Antibes,21060004500012,Zumba,2020-07-03,2020-07-03,Sport et Culture 06,Square Gould,,
