animations,date_debut,date_fin,organisateur,lieu_1,yd,md,dd,yf,mf,df,yearmonth,duration
riviera tag rugby festival,2019-09-21,2019-09-21,riviera tag club,stade du fort carré,2019,9,21,2019,9,21,2019-9,0
tournoi beach rugby,2019-09-28,2019-09-28,esprit passion ovale skéma business school,juan-les-pins,2019,9,28,2019,9,28,2019-9,0
yoga au lever du soleil,2019-09-28,2019-09-28,institut français de yoga provence alpes côte d'azur,plage du ponteil,2019,9,28,2019,9,28,2019-9,0
sentez-vous sport,2019-09-29,2019-09-29,cdos 06,base nautique du ponteil,2019,9,29,2019,9,29,2019-9,0
40ème édition de courir pour une fleur,2019-10-13,2019-10-13,direction des sports de la ville d'antibes,pinède et cap d'antibes,2019,10,13,2019,10,13,2019-10,0
nuit du hand,2019-10-19,2019-10-19,oajlp handball,salle saint claude,2019,10,19,2019,10,19,2019-10,0
tournoi qualificatif championnat de france u19,2019-10-26,2019-10-27,asf antibes hockey,stade de la fontonne,2019,10,26,2019,10,27,2019-10,1
match de basket leader cup antibes,2019-10-29,2019-10-29,sharks d'antibes,azurarena antibes,2019,10,29,2019,10,29,2019-10,0
rencontre interclub n3 et r1,2019-11-02,2019-11-03,badminton club d'antibes,gymnase de la fontonne,2019,11,2,2019,11,3,2019-11,1
marathon nice - cannes,2019-11-03,2019-11-03,azur sport organisation,antibes,2019,11,3,2019,11,3,2019-11,0
cross de l'unss,2019-11-06,2019-11-06,unss,stade du fort carré,2019,11,6,2019,11,6,2019-11,0
cross du poilu,2019-11-07,2019-11-07,direction des sports de la ville d'antibes,stade du fort carré,2019,11,7,2019,11,7,2019-11,0
match de basket antibes,2019-11-08,2019-11-08,sharks d'antibes,azurarena antibes,2019,11,8,2019,11,8,2019-11,0
journée champêtre,2019-11-10,2019-11-10,pétanque antiboise,criée florale,2019,11,10,2019,11,10,2019-11,0
challenge belmas,2019-11-11,2019-11-11,rugby club sophia antipolis,stade gilbert auvergne,2019,11,11,2019,11,11,2019-11,0
cross du collège,2019-11-12,2019-11-12,collège sidney bechet,parc exflora,2019,11,12,2019,11,12,2019-11,0
réception des présidents,2019-11-16,2019-11-16,direction des sports de la ville d'antibes,villa eilenroc,2019,11,16,2019,11,16,2019-11,0
cross du fort carré,2019-11-16,2019-11-16,eraa,stade du fort carré,2019,11,16,2019,11,16,2019-11,0
rassemblement ufolep,2019-11-17,2019-11-17,olympique cyclo club d'antibes,square albert 1er,2019,11,17,2019,11,17,2019-11,0
match de basket antibes/nantes,2019-11-22,2019-11-22,sharks d'antibes,azurarena antibes,2019,11,22,2019,11,22,2019-11,0
champ départ de tir,2019-11-30,2019-11-30,tir sportif d'antibes,zi des 3 moulins,2019,11,30,2019,11,30,2019-11,0
championnat départemental d'athlétisme,2019-12-04,2019-12-04,eraa,stade du fort carré,2019,12,4,2019,12,4,2019-12,0
cross des 3ème du collège roustan,2019-12-04,2019-12-04,collège roustan,stade foch,2019,12,4,2019,12,4,2019-12,0
téléthon,2019-12-07,2019-12-07,direction animation et activités culturelles,place nationale,2019,12,7,2019,12,7,2019-12,0
